Count;ComponentName;RefDes;Value;Description;cost;pins;consumption;sq;Link;pack;sqP;зфсл;manufactor;man;lock;pach
;;;;;;;;;;;;;;;;
1;74HC14D;DD29;;6  инверторов с триггером шмидта;5;;;67;;;;SOIC14;;;;
1;74HC74D;DD1;;2 D-триггера;10;;;67;;SOIC 14;;;;;;
1;ADP3338;DA4;3V3;линейный стабилизатор напр.;100;;;75;;SOT223;;;;;;
1;AMJDG;G3;100MHz;Генератор кварцевый;50;;;70;;VFLGA1.6x1.2;;;;Microsemi;;
1;C402;C51;0.1;чип конденсатор;0,5;2;;2,1;;smd402;;;;;;
37;C603;C2;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C3;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C4;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C5;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C6;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C7;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C8;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C9;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C11;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C12;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C13;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C14;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C15;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C16;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C17;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C18;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C19;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C24;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C25;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C29;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C30;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C32;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C33;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C34;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C35;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C36;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C37;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C38;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C39;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C40;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C41;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C42;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C43;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C48;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C49;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C50;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
;C603;C52;0.1;чип конденсатор;0,5;2;;2,1;;smd603;;;;;;
2;C805;C53;1.0;феррит. бусина 0805;0,6;2;0;8;;SMD 0805;;;;;;
;C805;C54;1.0;феррит. бусина 0805;0,6;2;0;8;;SMD 0805;;;;;;
13;C805;C10;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C20;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C21;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C22;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C23;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C26;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C27;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C28;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C31;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C44;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C45;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C46;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
;C805;C47;1.0;чип конденсатор 0805;0,6;2;;8;;SMD 0805;;;;;;
1;C1210;C1;10.0;чип конденсатор;0,5;2;;2,41;;smd1210;;;;;;
3;CA5611GWA;VD1;;;;;;;;;;;;;;
;CA5611GWA;VD2;;;;;;;;;;;;;;
;CA5611GWA;VD3;;;;;;;;;;;;;;
1;CH-GEN;G1;80MHz;резонатор кварцевый;75;;;12;;;;;;;;
1;CHECK_POINT;P12;+3V3;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P10;+5V;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P1;A;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P2;B;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P3;C;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P7;CLK;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P4;D;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P9;DOWN;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P5;E;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P6;F;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P11;GEN;Пятак;10;1;;4;;;;;;;;
1;CHECK_POINT;P8;UP;Пятак;10;1;;4;;;;;;;;
2;CR0603;R5;1K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R13;1K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
1;CR0603;R10;1M;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
1;CR0603;R4;2K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
57;CR0603;R1;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R8;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R9;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R11;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R17;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R18;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R19;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R20;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R117;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R118;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R119;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R120;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R121;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R122;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R123;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R124;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R125;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R126;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R127;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R128;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R129;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R130;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R131;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R132;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R133;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R134;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R135;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R136;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R137;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R138;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R139;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R140;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R141;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R142;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R143;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
